USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1 168952  8648 ?        Ss   12:06   0:03 /sbin/init splash
root         134  0.0  0.0      0     0 ?        I<   12:06   0:00 [vfio-irqfd-clea]
root         137  0.0  0.0      0     0 ?        I<   12:06   0:00 [mld]
root         138  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/5:1H-kblockd]
root         139  0.0  0.0      0     0 ?        I<   12:06   0:00 [ipv6_addrconf]
root         144  0.0  0.0      0     0 ?        I<   12:06   0:00 [kstrp]
root         150  0.0  0.0      0     0 ?        I<   12:06   0:00 [zswap-shrink]
root         197  0.0  0.0      0     0 ?        I<   12:06   0:00 [charger_manager]
root         262  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/0:1H-kblockd]
root         263  0.0  0.0      0     0 ?        I<   12:06   0:00 [nvme-wq]
root         264  0.0  0.0      0     0 ?        I<   12:06   0:00 [nvme-reset-wq]
root         265  0.0  0.0      0     0 ?        I<   12:06   0:00 [nvme-delete-wq]
root         266  0.0  0.0      0     0 ?        S    12:06   0:00 [irq/30-MSFT0001:00]
root         269  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/7:1H-kblockd]
root         271  0.0  0.0      0     0 ?        S    12:06   0:00 [scsi_eh_0]
root         272  0.0  0.0      0     0 ?        I<   12:06   0:00 [scsi_tmf_0]
root         274  0.0  0.0      0     0 ?        S    12:06   0:00 [scsi_eh_1]
root         275  0.0  0.0      0     0 ?        I<   12:06   0:00 [scsi_tmf_1]
root         279  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/2:1H-kblockd]
root         280  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/1:1H-kblockd]
root         281  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/8:1H-kblockd]
root         282  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/4:1H-kblockd]
root         283  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/3:1H-kblockd]
root         294  0.0  0.0      0     0 ?        I<   12:06   0:00 [raid5wq]
root         337  0.0  0.0      0     0 ?        S    12:06   0:05 [jbd2/nvme0n1p6-8]
root         338  0.0  0.0      0     0 ?        I<   12:06   0:00 [ext4-rsv-conver]
root         390  0.0  0.3  66520 21688 ?        S<s  12:06   0:03 /lib/systemd/systemd-journald
root         422  0.0  0.0      0     0 ?        I<   12:06   0:00 [rpciod]
root         423  0.0  0.0      0     0 ?        I<   12:06   0:00 [xprtiod]
root         424  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/11:1H-kblockd]
root         427  0.0  0.0  27912  3128 ?        Ss   12:06   0:00 /lib/systemd/systemd-udevd
root         428  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/9:1H-kblockd]
root         429  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/6:1H-kblockd]
root         622  0.0  0.0      0     0 ?        I<   12:06   0:00 [cryptd]
root         637  0.0  0.0      0     0 ?        I<   12:06   0:00 [cfg80211]
root         746  0.0  0.0      0     0 ?        I<   12:06   0:00 [amd_iommu_v2]
root         776  0.4  0.0      0     0 ?        S    12:06   1:29 [irq/75-rtw89_pci]
_rpc         782  0.0  0.0   7876  2196 ?        Ss   12:06   0:00 /sbin/rpcbind -f -w
systemd+     783  0.1  0.0  16004  2496 ?        Ss   12:06   0:26 /lib/systemd/systemd-oomd
systemd+     785  0.0  0.0  19472  2732 ?        Ss   12:06   0:02 /lib/systemd/systemd-resolved
systemd+     786  0.0  0.0  89496  1584 ?        Ssl  12:06   0:00 /lib/systemd/systemd-timesyncd
root         796  0.0  0.0   5008   144 ?        Ss   12:06   0:00 /usr/sbin/blkmapd
root         798  0.0  0.0   2948  1808 ?        Ss   12:06   0:00 /usr/sbin/rpc.idmapd
root         799  0.0  0.0   5420  2120 ?        Ss   12:06   0:00 /usr/sbin/nfsdcld
root         868  0.0  0.0      0     0 ?        I<   12:07   0:00 [amdgpu-reset-de]
root         869  0.0  0.0 240076  4496 ?        Ssl  12:07   0:00 /usr/libexec/accounts-daemon
avahi        871  0.0  0.0   8368  2284 ?        Ss   12:07   0:00 avahi-daemon: running [ubuntu.local]
root         876  0.0  0.0   9368  2120 ?        Ss   12:07   0:00 /usr/sbin/cron -f -P
message+     877  0.0  0.0  12112  4952 ?        Ss   12:07   0:06 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         883  0.0  0.0  82808  2336 ?        Ssl  12:07   0:01 /usr/sbin/irqbalance --foreground
root         885  0.0  0.1 242408  6388 ?        Ssl  12:07   0:05 /usr/libexec/polkitd --no-debug
root         886  0.0  0.0 239456  3568 ?        Ssl  12:07   0:00 /usr/libexec/power-profiles-daemon
syslog       887  0.0  0.0 222236  2600 ?        Ssl  12:07   0:00 /usr/sbin/rsyslogd -n -iNONE
root         893  0.0  0.2 2066892 16212 ?       Ssl  12:07   0:03 /usr/lib/snapd/snapd
root         895  0.0  0.0 235896  3268 ?        Ssl  12:07   0:00 /usr/libexec/switcheroo-control
root         896  0.0  0.0  49300  2308 ?        Ss   12:07   0:04 /lib/systemd/systemd-logind
root         903  0.0  0.0 393288  4168 ?        Ssl  12:07   0:00 /usr/libexec/udisks2/udisksd
avahi        928  0.0  0.0   8176   200 ?        S    12:07   0:00 avahi-daemon: chroot helper
root         949  0.0  0.0 317092  3976 ?        Ssl  12:07   0:00 /usr/sbin/ModemManager
root         961  0.0  0.1 137608  8108 ?        Ssl  12:07   0:00 /usr/bin/python3 /usr/sbin/firewalld --nofork --nopid
root         967  0.0  0.0  17100  3140 ?        Ss   12:07   0:06 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root        1112  0.0  0.1 260724  6912 ?        Ssl  12:07   0:03 /usr/sbin/NetworkManager --no-daemon
root        1126  0.0  0.0  37420  3488 ?        Ss   12:07   0:00 /usr/sbin/cupsd -l
root        1127  0.0  0.1 756864  7492 ?        Ssl  12:07   0:05 /usr/bin/gitlab-runner run --working-directory /home/gitlab-runner --config /etc/gitlab-runner/config.toml --service gitlab-runner --user gitlab-runner
root        1133  0.0  0.0 117436  3684 ?        Ssl  12:07   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1134  0.1  0.1 2021040 8460 ?        Ssl  12:07   0:34 /usr/bin/containerd
root        1155  0.0  0.0      0     0 ?        I<   12:07   0:00 [amdgpu_dm_hpd_r]
root        1157  0.0  0.0      0     0 ?        I<   12:07   0:00 [amdgpu_dm_hpd_r]
root        1158  0.0  0.0      0     0 ?        I<   12:07   0:00 [amdgpu_dm_hpd_r]
root        1161  0.0  0.0      0     0 ?        I<   12:07   0:00 [dm_vblank_contr]
root        1165  0.0  0.0 240728  4308 ?        Ssl  12:07   0:00 /usr/sbin/gdm3
root        1201  0.0  0.0      0     0 ?        S    12:07   0:00 [card0-crtc0]
root        1202  0.0  0.0      0     0 ?        S    12:07   0:00 [card0-crtc1]
root        1203  0.0  0.0      0     0 ?        S    12:07   0:00 [card0-crtc2]
root        1204  0.0  0.0      0     0 ?        S    12:07   0:00 [card0-crtc3]
root        1206  0.1  0.0      0     0 ?        S    12:07   0:40 [gfx]
root        1207  0.0  0.0      0     0 ?        S    12:07   0:00 [comp_1.0.0]
root        1208  0.0  0.0      0     0 ?        S    12:07   0:00 [comp_1.1.0]
root        1209  0.0  0.0      0     0 ?        S    12:07   0:00 [comp_1.2.0]
root        1210  0.0  0.0      0     0 ?        S    12:07   0:00 [comp_1.3.0]
root        1211  0.0  0.0      0     0 ?        S    12:07   0:00 [comp_1.0.1]
root        1212  0.0  0.0      0     0 ?        S    12:07   0:00 [comp_1.1.1]
root        1213  0.0  0.0      0     0 ?        S    12:07   0:00 [comp_1.2.1]
root        1214  0.0  0.0      0     0 ?        S    12:07   0:00 [comp_1.3.1]
root        1215  0.0  0.0      0     0 ?        S    12:07   0:01 [sdma0]
root        1216  0.0  0.0      0     0 ?        S    12:07   0:00 [vcn_dec]
root        1217  0.0  0.0      0     0 ?        S    12:07   0:00 [vcn_enc0]
root        1218  0.0  0.0      0     0 ?        S    12:07   0:00 [vcn_enc1]
root        1219  0.0  0.0      0     0 ?        S    12:07   0:00 [jpeg_dec]
rtkit       1378  0.0  0.0  22740   372 ?        SNsl 12:07   0:00 /usr/libexec/rtkit-daemon
root        1464  0.0  0.0      0     0 ?        S<   12:07   0:00 [krfcommd]
root        1565  0.0  0.0 237952  5312 ?        Ssl  12:07   0:02 /usr/libexec/upowerd
root        1575  0.0  0.0 373832  5556 ?        Ssl  12:07   0:09 /usr/libexec/packagekitd
colord      1594  0.0  0.1 244900  6340 ?        Ssl  12:07   0:00 /usr/libexec/colord
root        1810  0.0  0.0 175152  4508 ?        Ssl  12:07   0:00 /usr/sbin/cups-browsed
root        1811  0.0  0.2 2037988 12868 ?       Ssl  12:07   0:05 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
statd       1816  0.0  0.0   4588  1556 ?        Ss   12:07   0:00 /sbin/rpc.statd
root        1817  0.0  0.0   4968   232 ?        Ss   12:07   0:00 /usr/sbin/rpc.mountd
kernoops    1831  0.0  0.0  12468  1756 ?        Ss   12:07   0:00 /usr/sbin/kerneloops --test
root        1838  0.0  0.0      0     0 ?        S    12:07   0:00 [lockd]
kernoops    1847  0.0  0.0  12468  1656 ?        Ss   12:07   0:00 /usr/sbin/kerneloops
root        1853  0.0  0.0      0     0 ?        I<   12:07   0:00 [iprt-VBoxWQueue]
root        1858  0.0  0.0      0     0 ?        S    12:07   0:00 [iprt-VBoxTscThread]
root        1871  0.0  0.0      0     0 ?        S    12:07   0:00 [nfsd]
root        1872  0.0  0.0      0     0 ?        S    12:07   0:00 [nfsd]
root        1873  0.0  0.0      0     0 ?        S    12:07   0:00 [nfsd]
root        1874  0.0  0.0      0     0 ?        S    12:07   0:00 [nfsd]
root        1875  0.0  0.0      0     0 ?        S    12:07   0:00 [nfsd]
root        1876  0.0  0.0      0     0 ?        S    12:07   0:00 [nfsd]
root        1877  0.0  0.0      0     0 ?        S    12:07   0:00 [nfsd]
root        1878  0.0  0.0      0     0 ?        S    12:07   0:00 [nfsd]
root        2313  0.0  0.0 389496  5564 ?        Sl   12:07   0:00 gdm-session-worker [pam/gdm-password]
erekle      2351  0.0  0.1  19928  6916 ?        Ss   12:07   0:02 /lib/systemd/systemd --user
erekle      2352  0.0  0.0 170556  1236 ?        S    12:07   0:00 (sd-pam)
erekle      2358  0.0  0.1 192596  9612 ?        S<sl 12:07   0:18 /usr/bin/pipewire
erekle      2361  0.1  0.2 424192 12488 ?        S<sl 12:07   0:39 /usr/bin/wireplumber
erekle      2366  0.3  0.6 100096 36032 ?        S<sl 12:07   1:20 /usr/bin/pipewire-pulse
erekle      2368  0.0  0.0  11692  5040 ?        Ss   12:07   0:05 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
erekle      2370  0.0  0.1 389884  7444 ?        SLsl 12:07   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
erekle      2387  0.0  0.0 240228  4372 ?        Ssl  12:07   0:00 /usr/libexec/gvfsd
erekle      2388  0.0  0.0 536288  3512 ?        Ssl  12:07   0:00 /usr/libexec/xdg-document-portal
erekle      2393  0.0  0.0 380308  2904 ?        Sl   12:07   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
erekle      2398  0.0  0.0 235572  2440 ?        Ssl  12:07   0:00 /usr/libexec/xdg-permission-store
root        2410  0.0  0.0   2640   948 ?        Ss   12:07   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
erekle      2433  0.0  0.2 704560 17040 ?        SNsl 12:07   0:03 /usr/libexec/tracker-miner-fs-3
erekle      2440  0.0  0.0 315592  4392 ?        Ssl  12:07   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
erekle      2446  0.0  0.0 235892  3360 ?        Ssl  12:07   0:00 /usr/libexec/gvfs-mtp-volume-monitor
erekle      2453  0.0  0.1 259920 10000 ?        Ssl  12:07   0:01 /usr/libexec/gvfs-gphoto2-volume-monitor
erekle      2472  0.0  0.0 161852  3516 tty2     Ssl+ 12:07   0:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
erekle      2475  2.5  0.9 1026408 56416 tty2    Sl+  12:07   9:25 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
erekle      2478  0.0  0.0 315160  3752 ?        Ssl  12:07   0:00 /usr/libexec/gvfs-afc-volume-monitor
erekle      2484  0.0  0.0 236664  3344 ?        Ssl  12:07   0:00 /usr/libexec/gvfs-goa-volume-monitor
erekle      2510  0.0  0.0 315068  3400 ?        Sl   12:07   0:00 /usr/libexec/goa-identity-service
erekle      2537  0.0  0.0 223500  3732 tty2     Sl+  12:07   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
erekle      2627  0.0  0.0 309084  3564 ?        Ssl  12:07   0:00 /usr/libexec/at-spi-bus-launcher
erekle      2633  0.0  0.0   9312  2900 ?        S    12:07   0:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
erekle      2651  0.0  0.0  88276  1768 ?        Ssl  12:07   0:00 /usr/libexec/gcr-ssh-agent /run/user/1000/gcr
erekle      2652  0.0  0.0  91292  2348 ?        Ssl  12:07   0:00 /usr/libexec/gnome-session-ctl --monitor
erekle      2654  0.0  0.0   7572  1692 ?        Ss   12:07   0:00 ssh-agent -D -a /run/user/1000/openssh_agent
erekle      2663  0.0  0.0 519920  5896 ?        Ssl  12:07   0:01 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
erekle      2690  6.7  4.2 5239808 253116 ?      Ssl  12:07  24:37 /usr/bin/gnome-shell
erekle      2726  0.0  0.0  76120    68 ?        Ss   12:07   0:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
erekle      2780  0.0  0.1 793804  7760 ?        Sl   12:07   0:00 /usr/libexec/gnome-shell-calendar-server
erekle      2801  0.0  0.1 1168776 7048 ?        Ssl  12:07   0:00 /usr/libexec/evolution-source-registry
erekle      2819  0.0  0.0 312004  4460 ?        Sl   12:07   0:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
erekle      2831  0.0  0.0 623224  5400 ?        Ssl  12:07   0:01 /usr/libexec/xdg-desktop-portal
erekle      2837  0.0  0.1 1192056 10700 ?       Ssl  12:07   0:09 /usr/libexec/xdg-desktop-portal-gnome
erekle      2846  0.0  0.0 162944  4412 ?        Ssl  12:07   0:00 /usr/libexec/gvfsd-metadata
erekle      2859  0.0  0.1 1578016 9772 ?        Ssl  12:07   0:00 /usr/libexec/evolution-calendar-factory
erekle      2860  0.0  0.0 156952  4216 ?        Ssl  12:07   0:00 /usr/libexec/dconf-service
erekle      2891  0.0  0.0 744712  5072 ?        Ssl  12:07   0:00 /usr/libexec/evolution-addressbook-factory
erekle      2914  0.0  0.0 314464  4488 ?        Sl   12:07   0:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
erekle      2929  0.0  0.1 2916492 9760 ?        Sl   12:07   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
erekle      2931  0.0  0.0 162128  3420 ?        Sl   12:07   0:03 /usr/libexec/at-spi2-registryd --use-gnome-session
erekle      2958  0.0  0.0   2736   752 ?        Ss   12:07   0:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
erekle      2961  0.0  0.0 309872  3396 ?        Ssl  12:07   0:00 /usr/libexec/gsd-a11y-settings
erekle      2963  0.0  0.0 314492  4732 ?        Sl   12:07   0:09 /usr/bin/ibus-daemon --panel disable --xim
erekle      2965  0.0  0.1 342072  7336 ?        Ssl  12:07   0:00 /usr/libexec/gsd-color
erekle      2967  0.0  0.0 356820  3964 ?        Ssl  12:07   0:00 /usr/libexec/gsd-datetime
erekle      2970  0.0  0.0 385452  3328 ?        Ssl  12:07   0:00 /usr/libexec/gsd-housekeeping
erekle      2976  0.0  0.1 340900  7248 ?        Ssl  12:07   0:00 /usr/libexec/gsd-keyboard
erekle      2979  0.0  0.1 668900  8764 ?        Ssl  12:07   0:02 /usr/libexec/gsd-media-keys
erekle      2981  0.0  0.1 520268  9292 ?        Ssl  12:07   0:01 /usr/libexec/gsd-power
erekle      2983  0.0  0.0 249284  4600 ?        Ssl  12:07   0:00 /usr/libexec/gsd-print-notifications
erekle      2986  0.0  0.0 457284  3416 ?        Ssl  12:07   0:00 /usr/libexec/gsd-rfkill
erekle      2989  0.0  0.0 235708  2376 ?        Ssl  12:07   0:00 /usr/libexec/gsd-screensaver-proxy
erekle      2991  0.0  0.0 465488  4648 ?        Ssl  12:07   0:01 /usr/libexec/gsd-sharing
erekle      2994  0.0  0.0 385500  3556 ?        Ssl  12:07   0:00 /usr/libexec/gsd-smartcard
erekle      2996  0.0  0.0 318872  4388 ?        Ssl  12:07   0:00 /usr/libexec/gsd-sound
erekle      3001  0.0  0.1 341240  7520 ?        Ssl  12:07   0:00 /usr/libexec/gsd-wacom
erekle      3003  0.0  0.1 343160  8544 ?        Ssl  12:07   0:01 /usr/libexec/gsd-xsettings
erekle      3011  0.0  0.0 231684  2596 ?        Sl   12:07   0:00 /usr/libexec/gsd-disk-utility-notify
erekle      3027  0.0  0.0 162892  3540 ?        Sl   12:07   0:00 /usr/libexec/ibus-memconf
erekle      3029  0.0  0.1 866024  9576 ?        Sl   12:07   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
erekle      3030  0.0  0.1 272044  8180 ?        Sl   12:07   0:03 /usr/libexec/ibus-extension-gtk3
erekle      3043  0.0  0.1 193540  7832 ?        Sl   12:07   0:05 /usr/libexec/ibus-x11 --kill-daemon
erekle      3045  0.0  0.0 236672  3720 ?        Sl   12:07   0:00 /usr/libexec/ibus-portal
erekle      3061  0.0  0.1 406888  6224 ?        Sl   12:07   0:04 python3 /snap/emote/19/bin/emote
erekle      3062  0.7  0.9 38969556 54716 ?      Sl   12:07   2:51 /snap/morgen/73/morgen --hidden --no-sandbox --enable-crashpad
erekle      3066  0.0  0.1 1257284 8732 ?        Sl   12:07   0:08 /snap/snap-store/638/usr/bin/snap-store --gapplication-service
erekle      3116  0.0  0.0 341860  3932 ?        Sl   12:07   0:00 /usr/libexec/gsd-printer
erekle      3174  0.0  0.2 485568 13716 ?        Sl   12:07   0:00 /usr/libexec/gvfsd-http --spawner :1.7 /org/gtk/gvfs/exec_spaw/1
erekle      3238  0.0  0.1 2923152 10552 ?       Sl   12:07   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
erekle      3324  0.0  0.1 341848  7640 ?        Ssl  12:07   0:01 /usr/libexec/xdg-desktop-portal-gtk
erekle      3328  0.0  0.0 163028  3736 ?        Sl   12:07   0:02 /usr/libexec/ibus-engine-simple
erekle      3506  0.0  0.0 33920072 1452 ?       S    12:07   0:00 /snap/morgen/73/morgen --type=zygote --no-zygote-sandbox --no-sandbox --enable-crashpad --enable-crashpad
erekle      3512  0.0  0.0 33920056 352 ?        S    12:07   0:00 /snap/morgen/73/morgen --type=zygote --no-sandbox --enable-crashpad --enable-crashpad
erekle      3610  0.0  0.7 1718004 45544 ?       Sl   12:07   0:08 /usr/bin/copyq
erekle      3734  0.0  0.2 514188 15408 ?        Sl   12:07   0:08 /usr/bin/copyq --clipboard-access monitorClipboard
erekle      3762  0.0  0.1 108080 10528 ?        S    12:07   0:00 /usr/bin/copyq eval -- runMenuCommandFilters()
